wd:Q21972025	wd:Q184358	North Port Noarlunga Reef	reef
wd:Q21973064	wd:Q184358	Hareby Island Reef	reef
wd:Q21973078	wd:Q184358	Double Rock Reef	reef
wd:Q21973121	wd:Q184358	Mother Mcgregor Reef	reef
wd:Q21973164	wd:Q184358	Split Rock Reef	reef
wd:Q21870667	wd:Q184358	Gladden Spit	reef
wd:Q21867108	wd:Q184358	Manatee Bar	reef
wd:Q21858006	wd:Q184358	Hornrevet	reef
wd:Q21837162	wd:Q184358	Arrecife Mayo	reef
wd:Q21839689	wd:Q184358	Arrecife del Florido	reef
wd:Q21847399	wd:Q184358	Tāemā Bank	reef
wd:Q21836680	wd:Q184358	Restinga Novales	reef
wd:Q21844558	wd:Q184358	Restinga Chaffers	reef
wd:Q21882464	wd:Q184358	Web Reef	reef
wd:Q21841355	wd:Q184358	Restinga Coronel	reef
wd:Q21846250	wd:Q184358	Arrecife Bassin	reef
wd:Q21846785	wd:Q184358	Restinga Braida	reef
wd:Q21846862	wd:Q184358	Arrecife Burgos	reef
wd:Q21847710	wd:Q184358	Amuula Rock	reef
wd:Q21870310	wd:Q184358	Shark Ray Alley	reef
wd:Q21870447	wd:Q184358	Bulkhead Reef	reef
wd:Q21867129	wd:Q184358	Piedras de Mato	reef
wd:Q21922137	wd:Q184358	Barnett Patches	reef
wd:Q21922174	wd:Q184358	Follet Reef	reef
wd:Q21922179	wd:Q184358	Chesterman Reef	reef
wd:Q21922180	wd:Q184358	Abrahams Reef	reef
wd:Q21922195	wd:Q184358	Herald Number One	reef
wd:Q21922498	wd:Q184358	Dotterel Reef	reef
wd:Q21922528	wd:Q184358	Sir John Young Banks	reef
wd:Q21922591	wd:Q184358	Creal Reef	reef
wd:Q21867181	wd:Q184358	Mullins Bar	reef
wd:Q21867421	wd:Q184358	Seal Cays	reef
wd:Q21867439	wd:Q184358	Sibun Bar	reef
wd:Q21867527	wd:Q184358	Tobacco Reef	reef
wd:Q21870662	wd:Q184358	Gallows Point Reef	reef
wd:Q21870525	wd:Q184358	Columbus Reef	reef
wd:Q21881310	wd:Q184358	Yatala Reef	reef
wd:Q21922134	wd:Q184358	Croton Reef	reef
wd:Q21922172	wd:Q184358	Hill Reef	reef
wd:Q21922202	wd:Q184358	Bellingham Sand	reef
wd:Q21922193	wd:Q184358	Sanctuary Reef	reef
wd:Q21922222	wd:Q184358	Bellambi Reef	reef
wd:Q21922216	wd:Q184358	Para Reef	reef
wd:Q21922323	wd:Q184358	Blackman Reef	reef
wd:Q21922484	wd:Q184358	Simmons Mistake	reef
wd:Q21790394	wd:Q184358	Southwest Breaker	reef
wd:Q21922588	wd:Q184358	Napier Reef	reef
wd:Q21790526	wd:Q184358	Lobster Flat	reef
wd:Q21880942	wd:Q184358	Witcomb Reefs	reef
wd:Q21882309	wd:Q184358	Ward Reef	reef
wd:Q21922132	wd:Q184358	Prawn Reef	reef
wd:Q21922478	wd:Q184358	Two Mile Reef	reef
wd:Q21922587	wd:Q184358	Bugatti Reef	reef
wd:Q21922502	wd:Q184358	Black Reef	reef
wd:Q21922511	wd:Q184358	Black Reef	reef
wd:Q21870363	wd:Q184358	Barrier Reef	reef
wd:Q21922123	wd:Q184358	Lynch's Reef	reef
wd:Q21922117	wd:Q184358	Roxburgh Reef	reef
wd:Q21922175	wd:Q184358	Littles Reef	reef
wd:Q21922189	wd:Q184358	Gannet Cay	reef
wd:Q21922585	wd:Q184358	Wansfell Reefs	reef
wd:Q21790411	wd:Q184358	Bermuda Great Reef	reef
wd:Q21790445	wd:Q184358	Chaddock Bar	reef
wd:Q21922121	wd:Q184358	Saucer Reef	reef
wd:Q21922124	wd:Q184358	Chicken Reef	reef
wd:Q21922139	wd:Q184358	Yamacutta Reef	reef
wd:Q21922173	wd:Q184358	Wade Reef	reef
wd:Q21922183	wd:Q184358	Bell Cay	reef
wd:Q21922561	wd:Q184358	Tuggerah Reef	reef
wd:Q21922580	wd:Q184358	Tregrosse Reefs	reef
wd:Q21922590	wd:Q184358	Edgell Reefs	reef
wd:Q21922135	wd:Q184358	Stanley Reef	reef
wd:Q21790540	wd:Q184358	Mills Breaker Ledge	reef
wd:Q21922138	wd:Q184358	Duncan Reef	reef
wd:Q21922122	wd:Q184358	Centipede Reef	reef
wd:Q21922130	wd:Q184358	Jupiter Reef	reef
wd:Q21922170	wd:Q184358	Heralds Prong Number Three	reef
wd:Q21922177	wd:Q184358	Wilson Reef	reef
wd:Q21922515	wd:Q184358	Beware Reef	reef
wd:Q21806628	wd:Q184358	Wajacá	reef
wd:Q21831251	wd:Q184358	Ada Reef	reef
wd:Q21790622	wd:Q184358	Turn-Up Breaker	reef
wd:Q21922131	wd:Q184358	Shrimp Reef	reef
