c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
sweet:phenAtmoWind/WalkerCirculation	walker circulation	wd:Q2142205	Walker circulation	sweet:phenAtmoWind/GlobalWindCirculation	global wind circulation	wd:Q51881207	cellular circulation	high		walker circulation		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenAtmoWind/ZonalFlow	zonal flow	wd:Q3353804	zonal flow	sweet:phenAtmoWind/GlobalWindCirculation	global wind circulation	wd:Q25261	meteorology	high		zonal flow		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenAtmoWindMesoscale/FallWind	fall wind	wd:Q1394771	fall wind	sweet:phenAtmoWindMesoscale/KatabaticWind|sweet:phenAtmoWindMesoscale/MountainWind	katabatic wind|mountain wind	wd:Q4698318	air current	high		fall wind		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenBiol/BiologicalActivity	biological activity	wd:Q864491	biological activity	sweet:phenBiol/BiologicalPhenomena	biological phenomena	wd:Q937228	property	high		biological activity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenBiol/Excretion	excretion	wd:Q185557	excretion	sweet:phenBiol/BiologicalPhenomena	biological phenomena	wd:Q2996394	biological process	high		excretion		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenBiol/Inhalation	inhalation	wd:Q840343	inhalation	sweet:phenBiol/BiologicalPhenomena	biological phenomena	wd:Q30892994	physiological process	high		inhalation		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenCryo/IceCalving	ice calving	wd:Q868757	ice calving			wd:Q35666	glacier	high		ice calving		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenCycle/ChandlerWobble	chandler wobble	wd:Q2732048	Chandler wobble	sweet:phenCycle/EarthOscillation	earth oscillation	wd:Q3392253	motions of the Earth	high		chandler wobble		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenCycle/SolarCycle	solar cycle	wd:Q49385	solar cycle	sweet:phenCycle/GlobalCycle	global cycle			high		solar cycle		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenCycle/SouthernOscillation	southern oscillation	wd:Q1423047	Southern Oscillation	sweet:phenCycle/EarthOscillation	earth oscillation	wd:Q4072190	atmospheric phenomenon	high		southern oscillation		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenCycleMaterial/OxygenCycle	oxygen cycle	wd:Q1140866	oxygen cycle	sweet:phenCycleMaterial/BiogeochemicalCycle	biogeochemical cycle	wd:Q846303	biogeochemical cycle	high		oxygen cycle		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenCycleMaterial/PhosphorusCycle	phosphorus cycle	wd:Q1140772	phosphorus cycle	sweet:phenCycleMaterial/BiogeochemicalCycle	biogeochemical cycle	wd:Q846303	biogeochemical cycle	high		phosphorus cycle		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenCycleMaterial/SulfurCycle	sulfur cycle	wd:Q1361502	sulfur cycle	sweet:phenCycleMaterial/BiogeochemicalCycle	biogeochemical cycle	wd:Q846303	biogeochemical cycle	high		sulfur cycle		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenCycleMaterial/WaterCycle	water cycle	wd:Q81041	water cycle			wd:Q846303	biogeochemical cycle	high		water cycle		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenElecMag/CurrentSheet	current sheet	wd:Q12003679	Current sheet	sweet:phenElecMag/ElectricField	electric field	wd:Q11651	electric current	high		current sheet		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenElecMag/ElectricField	electric field	wd:Q46221	electric field	sweet:reprMathFunction/VectorField	vector field	wd:Q6498784	mathematical expression	high		electric field		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenEnergy/SolarPower	solar power	wd:Q56736602	Solar Power	sweet:phenEnergy/PowerSource|sweet:phenEnergy/SolarEnergy	power source|solar energy	wd:Q56735911	ability	high		solar power		[info(label,label,downcase)]	[info(label,label,downcase)]								
